24.00	19.00	11:50
24.00	19.00	11:50
24.00	19.00	11:50
24.00	19.00	11:50
24.00	19.00	11:50
24.00	19.00	11:51
24.00	19.00	11:51
24.00	19.00	11:51
24.00	19.00	11:51
24.00	19.00	11:51
24.00	19.00	11:51
24.00	19.00	11:52
24.00	19.00	11:52
24.00	23.00	11:52
24.00	19.00	11:52
24.00	19.00	11:52
24.00	19.00	14:12
24.00	19.00	14:13
24.00	19.00	14:13
24.00	19.00	14:13
24.00	40.00	14:14
24.00	19.00	14:14
24.00	27.00	14:14
24.00	19.00	14:15
24.00	19.00	14:15
24.00	19.00	14:15
24.00	19.00	14:15
24.00	19.00	14:16
25.00	18.00	14:16
24.00	33.00	14:16
24.00	19.00	14:16
24.00	30.00	14:17
24.00	19.00	14:17
24.00	19.00	14:17
24.00	19.00	14:17
24.00	19.00	14:17
24.00	19.00	14:18
24.00	19.00	14:18
24.00	19.00	14:18
24.00	19.00	14:18
24.00	19.00	14:18
24.00	19.00	14:19
25.00	18.00	14:19
24.00	36.00	14:19
24.00	19.00	14:19
24.00	19.00	14:19
24.00	19.00	14:20
24.00	19.00	14:20
24.00	19.00	14:20
24.00	19.00	14:20
24.00	19.00	14:20
24.00	19.00	14:20
24.00	19.00	14:21
24.00	19.00	14:21
24.00	19.00	14:21
24.00	19.00	14:21
